Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-01-05,LTCBTC,0.008379,0.009455,0.008379,0.009107,352128.66,3156.64
2019-01-04,LTCBTC,0.008337,0.00857,0.008264,0.008379,113253.37,951.23
2019-01-03,LTCBTC,0.008474,0.008507,0.008206,0.008337,114174.03,952.94
2019-01-02,LTCBTC,0.008294,0.008581,0.008283,0.008474,112485.54,949.11
2019-01-01,LTCBTC,0.00809,0.008494,0.008025,0.008294,82285.39,679.15
2018-12-31,LTCBTC,0.008254,0.008275,0.008025,0.00809,108430.32,882.47
2018-12-30,LTCBTC,0.0082,0.008326,0.008122,0.008254,131697.67,1085.98
2018-12-29,LTCBTC,0.008277,0.00848,0.008106,0.0082,193334.71,1594.57
2018-12-28,LTCBTC,0.007721,0.008506,0.007717,0.008277,256127.85,2089.74
2018-12-27,LTCBTC,0.008015,0.008094,0.007583,0.007721,183884.28,1439.31
2018-12-26,LTCBTC,0.008142,0.008288,0.007772,0.008015,178033.19,1429.5
2018-12-25,LTCBTC,0.008158,0.00825,0.008,0.008142,181399.29,1471.13
2018-12-24,LTCBTC,0.008388,0.008637,0.008053,0.008158,256761.7,2166.16
2018-12-23,LTCBTC,0.007912,0.008526,0.007912,0.008388,172452.84,1421.31
2018-12-22,LTCBTC,0.007889,0.007973,0.007821,0.007912,92244.19,729.07
2018-12-21,LTCBTC,0.007936,0.008,0.007732,0.007889,136545.54,1073.77
2018-12-20,LTCBTC,0.007871,0.00805,0.007646,0.007936,194050.26,1518.49
2018-12-19,LTCBTC,0.0082,0.008469,0.007805,0.007871,238043.11,1918.19
2018-12-18,LTCBTC,0.008258,0.008338,0.008006,0.0082,156470.21,1274.32
2018-12-17,LTCBTC,0.007906,0.008542,0.00788,0.008258,254874.59,2113.01
2018-12-16,LTCBTC,0.007343,0.008204,0.007337,0.007906,273573.1,2179.67
2018-12-15,LTCBTC,0.007234,0.007412,0.00715,0.007343,83171.79,609.26
2018-12-14,LTCBTC,0.006989,0.007248,0.006901,0.007234,98531.47,698.74
2018-12-13,LTCBTC,0.007016,0.007082,0.006963,0.006989,78717.63,552.57
2018-12-12,LTCBTC,0.006925,0.007191,0.0069,0.007016,88288.22,625.33
2018-12-11,LTCBTC,0.007036,0.007142,0.00688,0.006917,69558.87,486.25
2018-12-10,LTCBTC,0.007155,0.007193,0.006935,0.007036,86017.29,607.63
2018-12-09,LTCBTC,0.007119,0.007476,0.007104,0.007155,109806.62,799.16
2018-12-08,LTCBTC,0.007325,0.007681,0.006923,0.007119,194606.08,1405.91
2018-12-07,LTCBTC,0.007615,0.007695,0.00688,0.007325,222516.34,1620.58
2018-12-06,LTCBTC,0.007769,0.007891,0.007478,0.007615,155841.72,1194.8
2018-12-05,LTCBTC,0.00787,0.007965,0.0077,0.007769,76102.62,595.76
2018-12-04,LTCBTC,0.007956,0.008008,0.00786,0.00787,72299.11,573.8
2018-12-03,LTCBTC,0.008114,0.00815,0.007807,0.007956,77058.94,615.64
2018-12-02,LTCBTC,0.008152,0.008217,0.008037,0.008114,59378.39,482.86
2018-12-01,LTCBTC,0.007965,0.008245,0.007878,0.008152,68778.83,554.34
2018-11-30,LTCBTC,0.00789,0.008031,0.007763,0.007948,80600.41,636.51
2018-11-29,LTCBTC,0.008153,0.008241,0.007864,0.00789,98822.65,792.67
2018-11-28,LTCBTC,0.008156,0.008398,0.007927,0.008153,156922.5,1278.74
2018-11-27,LTCBTC,0.007823,0.008165,0.00779,0.008156,114279.63,912.76
2018-11-26,LTCBTC,0.00771,0.007954,0.007587,0.007823,176891.15,1382.24
2018-11-25,LTCBTC,0.007558,0.00777,0.007421,0.00771,182364.79,1387.57
2018-11-24,LTCBTC,0.007415,0.00763,0.007314,0.007558,98937.5,736.44
2018-11-23,LTCBTC,0.007347,0.007569,0.007287,0.007415,86554.78,640.31
2018-11-22,LTCBTC,0.007541,0.007584,0.007344,0.007347,74880.46,562.0
2018-11-21,LTCBTC,0.007412,0.00755,0.007234,0.007541,123583.77,914.61
2018-11-20,LTCBTC,0.007538,0.007704,0.0071,0.007412,241215.69,1799.84
2018-11-19,LTCBTC,0.007521,0.007573,0.007055,0.007538,159472.4,1165.53
2018-11-18,LTCBTC,0.007535,0.007643,0.007476,0.007521,45839.74,347.27
2018-11-17,LTCBTC,0.007593,0.00761,0.007501,0.007535,52359.64,395.21
2018-11-16,LTCBTC,0.007772,0.007802,0.007551,0.007593,81700.75,628.06
2018-11-15,LTCBTC,0.007616,0.00789,0.007538,0.007772,154351.75,1187.06
2018-11-14,LTCBTC,0.007803,0.00787,0.007137,0.007616,171609.21,1299.69
2018-11-13,LTCBTC,0.007937,0.007993,0.007682,0.007803,74450.38,585.81
2018-11-12,LTCBTC,0.007965,0.008031,0.007853,0.007937,55653.36,441.69
2018-11-11,LTCBTC,0.008158,0.008158,0.007847,0.007965,57141.01,456.86
2018-11-10,LTCBTC,0.008133,0.008197,0.008096,0.008158,30270.19,246.68
2018-11-09,LTCBTC,0.008139,0.008194,0.008072,0.008133,45606.34,370.73
2018-11-08,LTCBTC,0.008281,0.008351,0.0081,0.008139,75128.68,617.75
2018-11-07,LTCBTC,0.008662,0.008679,0.008192,0.008281,117819.17,987.82
2018-11-06,LTCBTC,0.008342,0.008685,0.008321,0.008662,117728.56,996.69
2018-11-05,LTCBTC,0.008417,0.008503,0.008218,0.008342,111299.83,925.64
2018-11-04,LTCBTC,0.007988,0.008663,0.007912,0.008417,183058.03,1531.0
2018-11-03,LTCBTC,0.00805,0.008084,0.007919,0.007988,61924.46,496.49
2018-11-02,LTCBTC,0.0079,0.008099,0.007885,0.00805,79937.16,639.59
2018-11-01,LTCBTC,0.007841,0.007928,0.007783,0.0079,69747.16,549.02
2018-10-31,LTCBTC,0.007791,0.00793,0.007675,0.007841,67594.4,528.8
2018-10-30,LTCBTC,0.007753,0.007826,0.007726,0.007791,63534.16,494.36
2018-10-29,LTCBTC,0.008029,0.00805,0.007603,0.007753,133075.98,1044.14
2018-10-28,LTCBTC,0.008034,0.008058,0.007992,0.008029,50406.71,404.37
2018-10-27,LTCBTC,0.008059,0.008105,0.007986,0.008034,50842.75,408.87
2018-10-26,LTCBTC,0.008086,0.008123,0.007991,0.008059,67749.35,546.37
2018-10-25,LTCBTC,0.008087,0.008116,0.00805,0.008086,57095.83,461.48
2018-10-24,LTCBTC,0.008131,0.00815,0.008035,0.008087,98540.78,797.68
2018-10-23,LTCBTC,0.008072,0.008217,0.00803,0.008131,82985.07,672.62
2018-10-22,LTCBTC,0.008133,0.008186,0.008025,0.008072,186044.99,1504.68
2018-10-21,LTCBTC,0.008244,0.008267,0.008114,0.008133,140317.06,1148.4
2018-10-20,LTCBTC,0.008219,0.008273,0.008169,0.008244,150036.24,1232.55
2018-10-19,LTCBTC,0.008086,0.008297,0.00806,0.008219,145377.61,1189.72
2018-10-18,LTCBTC,0.008202,0.00823,0.00802,0.008086,204051.75,1656.92
2018-10-17,LTCBTC,0.008221,0.008234,0.008125,0.008202,175358.39,1434.85
2018-10-16,LTCBTC,0.008323,0.008323,0.008305,0.008305,0.0,0.0
2018-10-15,LTCBTC,0.00829,0.008644,0.008116,0.008323,281522.05,2339.17
2018-10-14,LTCBTC,0.008535,0.00854,0.008252,0.00829,145871.46,1230.6
2018-10-13,LTCBTC,0.00853,0.008684,0.00847,0.008535,172131.21,1471.52
2018-10-12,LTCBTC,0.008208,0.008589,0.008148,0.00853,224044.48,1886.19
2018-10-11,LTCBTC,0.008811,0.008822,0.008142,0.008208,239487.85,2003.62
2018-10-10,LTCBTC,0.008862,0.008877,0.008727,0.008811,175635.28,1545.7
2018-10-09,LTCBTC,0.008948,0.008962,0.008798,0.008862,156248.63,1387.55
2018-10-08,LTCBTC,0.008812,0.008995,0.008719,0.008948,197619.33,1748.68
2018-10-07,LTCBTC,0.008789,0.008912,0.008695,0.008812,153687.11,1350.88
2018-10-06,LTCBTC,0.008881,0.00893,0.008646,0.008789,146142.16,1286.64
2018-10-05,LTCBTC,0.008851,0.008989,0.008748,0.008881,169920.6,1501.65
2018-10-04,LTCBTC,0.00884,0.008977,0.008803,0.008851,165362.12,1474.05
2018-10-03,LTCBTC,0.009109,0.00912,0.008779,0.00884,179491.71,1597.99
2018-10-02,LTCBTC,0.00914,0.00933,0.008748,0.009109,211082.41,1934.61
2018-10-01,LTCBTC,0.00924,0.009343,0.00907,0.00914,189495.7,1739.78
2018-09-30,LTCBTC,0.00933,0.009468,0.009144,0.00924,169930.84,1571.64
2018-09-29,LTCBTC,0.009331,0.009543,0.009117,0.00933,169509.11,1575.75
2018-09-28,LTCBTC,0.00946,0.00962,0.009176,0.009331,199223.81,1865.21
2018-09-27,LTCBTC,0.008852,0.00989,0.008749,0.00946,325230.15,3056.7
2018-09-26,LTCBTC,0.008937,0.009162,0.008751,0.008852,213781.21,1904.6
2018-09-25,LTCBTC,0.00882,0.009064,0.008525,0.008937,213570.88,1873.39
2018-09-24,LTCBTC,0.009161,0.009168,0.008664,0.00882,206541.46,1829.28
2018-09-23,LTCBTC,0.009019,0.009409,0.008942,0.009161,176923.13,1620.9
2018-09-22,LTCBTC,0.008991,0.009125,0.008698,0.009019,128155.06,1141.47
2018-09-21,LTCBTC,0.008708,0.009254,0.008508,0.008991,239812.85,2101.73
2018-09-20,LTCBTC,0.008485,0.0088,0.008357,0.008708,180761.85,1532.99
2018-09-19,LTCBTC,0.008533,0.008618,0.008301,0.008485,168856.76,1431.47
2018-09-18,LTCBTC,0.008326,0.008691,0.008094,0.008533,188136.26,1579.07
2018-09-17,LTCBTC,0.008738,0.00887,0.008256,0.008326,181659.57,1557.16
2018-09-16,LTCBTC,0.008655,0.008837,0.008502,0.008738,55921.3,485.59
2018-09-15,LTCBTC,0.008674,0.008954,0.008565,0.008655,138661.05,1221.77
2018-09-14,LTCBTC,0.008394,0.009,0.008222,0.008674,169913.74,1451.29
2018-09-13,LTCBTC,0.008161,0.008488,0.008135,0.008394,183545.76,1527.78
2018-09-12,LTCBTC,0.008262,0.008276,0.007583,0.008161,193827.34,1538.39
2018-09-11,LTCBTC,0.00862,0.00862,0.008064,0.008262,175984.71,1479.19
2018-09-10,LTCBTC,0.00876,0.008892,0.008474,0.00862,151920.29,1313.5
2018-09-09,LTCBTC,0.00858,0.008873,0.008483,0.00876,155366.93,1342.85
2018-09-08,LTCBTC,0.008684,0.008871,0.008479,0.00858,148998.11,1295.27
2018-09-07,LTCBTC,0.008837,0.008959,0.008667,0.008684,165126.86,1451.46
2018-09-06,LTCBTC,0.008606,0.00886,0.008502,0.008837,216974.06,1877.82
2018-09-05,LTCBTC,0.009185,0.00927,0.008575,0.008606,201843.07,1799.68
2018-09-04,LTCBTC,0.009,0.009396,0.008993,0.009185,172629.13,1593.63
2018-09-03,LTCBTC,0.009072,0.00909,0.008899,0.009,147218.93,1319.27
2018-09-02,LTCBTC,0.009238,0.009274,0.008882,0.009072,158396.62,1435.05
2018-09-01,LTCBTC,0.008849,0.00936,0.00883,0.009238,178036.81,1623.76
2018-08-31,LTCBTC,0.008614,0.00908,0.008567,0.008849,161888.82,1409.59
