Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
2020-01-27,BTCUSDT,8615,9000,8535,8907.57,49052.91,430022719.13
2020-01-26,BTCUSDT,8340.58,8618.13,8293.66,8615,28775.88,243966731.84
2020-01-25,BTCUSDT,8439,8451.26,8254.9,8340.58,23704.04,197715892.36
2020-01-24,BTCUSDT,8404.52,8528.02,8238,8439,37915.34,318243231.34
2020-01-23,BTCUSDT,8682.36,8691.81,8306.39,8404.52,43503.83,368015973.52
2020-01-22,BTCUSDT,8736.03,8818,8590,8682.36,26606.87,231150378.63
2020-01-21,BTCUSDT,8642.35,8789,8488,8736.03,33291.5,288321139.87
2020-01-20,BTCUSDT,8701.7,8746.99,8521.28,8642.35,35807.9,309740988.53
2020-01-19,BTCUSDT,8915.96,9198.98,8466,8701.7,63049.82,556820241.63
2020-01-18,BTCUSDT,8913.28,8988.88,8806.38,8915.96,35353.75,314671064.89
2020-01-17,BTCUSDT,8720.01,9041.65,8672.44,8913.28,64388.51,571745481.35
2020-01-16,BTCUSDT,8821.41,8859.81,8586,8720.01,47421.64,412049423.4
2020-01-15,BTCUSDT,8810.01,8916.48,8564,8821.41,76661.43,672219490.57
2020-01-14,BTCUSDT,8110.34,8880,8105.54,8810.01,107343.57,920676991.36
2020-01-13,BTCUSDT,8184.98,8196,8055.89,8110.34,28881.44,234189183.33
2020-01-12,BTCUSDT,8020.01,8197,7960,8184.98,35192.02,285515916.7
2020-01-11,BTCUSDT,8197.02,8286.34,8003.16,8020.01,50145.37,407130953.77
2020-01-10,BTCUSDT,7817.76,8199,7672,8197.02,74805.42,592502799.28
2020-01-09,BTCUSDT,8055.98,8055.98,7750,7817.76,58498.62,461938364.87
2020-01-08,BTCUSDT,8145.28,8455,7870,8055.98,100231.74,824509605.4
2020-01-07,BTCUSDT,7758,8207.68,7723.71,8145.28,81794.92,649686677.69
2020-01-06,BTCUSDT,7358.75,7795.34,7346.76,7758,49697.96,375953464.58
2020-01-05,BTCUSDT,7354.11,7495,7318,7358.75,34999.35,260108976.83
2020-01-04,BTCUSDT,7344.96,7404,7272.21,7354.11,27821.23,203985069.84
